Num,Timestamp,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost,
1,2025-02-05T08:00:01.667Z,0.323938741,27.9818,-2.285430516,30.4993,3.292575461,31.4956,-0.768427129,35.0316,-0.167036738,37.0274,1.555873241,36.5425,0.383717365,-0.00958831,0.0,0.0,-0.290439067,0.0,0.077122453,1,False,False,
2,2025-02-05T08:00:03.535Z,0.23497243,28.0128,-4.010750019,30.5168,-2.182376677,31.5437,-1.035004063,35.0381,-0.699165385,37.046,0.290959878,36.5805,0.0,0.0,0.0,0.0,0.0,0.000284689,0.076834259,1,False,False,
3,2025-02-05T08:00:04.699Z,0.070958641,28.0155,-3.282288504,30.5506,-0.826651166,31.5277,-1.279208172,35.0756,-0.1500211,37.0824,-0.579982845,36.5886,-0.007559235,-9.6462e-05,0.0,0.0,0.0,0.0,0.112784173,1,False,False,
4,2025-02-05T08:00:06.061Z,0.13967357,28.0372,-4.258685749,30.5633,-2.16800142,31.5253,1.38296427,35.0943,0.227067174,37.1283,-0.086827283,36.6162,0.0,0.0,0.0,0.0,0.0,0.000853922,0.080483445,1,False,False,
5,2025-02-05T08:00:08.015Z,0.288951413,28.0755,-2.606786018,30.5649,-1.558299804,31.5093,-0.031213134,35.1358,1.208286543,37.1746,0.727114146,36.6022,0.0,-0.008519107,0.0,-0.007682619,0.165631716,0.0,0.099633177,1,False,False,
6,2025-02-05T08:00:09.191Z,-0.114195449,28.0709,-2.610952374,30.5498,-0.298515923,31.5335,-1.446674028,35.1318,0.943875272,37.218,0.261817767,36.6424,-0.000555701,0.0,0.0,0.180697803,0.0,0.0,0.108070548,1,False,False,
7,2025-02-05T08:00:10.597Z,-1.65136418,28.0704,-1.294578598,30.5473,-0.999389241,31.5781,-0.809241357,35.1428,0.116824637,37.2583,-1.212466488,36.6609,0.0,-0.005014155,-0.001792342,0.0,0.0,0.0,0.072872596,1,False,False,
8,2025-02-05T08:00:12.199Z,-0.48019206,28.0856,-1.521575043,30.587,-0.727139569,31.5691,-1.106827675,35.1901,0.487065158,37.2439,0.138696809,36.6539,0.0,0.007921826,0.484322495,-0.003639931,0.0,-0.196054077,0.07,1,False,False,
9,2025-02-05T08:00:13.186Z,0.205699388,28.0805,-1.933169153,30.5856,-1.093903022,31.6145,-0.7418534,35.2317,-1.053461601,37.2855,-0.439361102,36.6598,-0.171357258,-0.401138635,0.0,0.0,0.0,0.0,0.088863256,1,False,False,
10,2025-02-05T08:00:15.173Z,-0.073125843,28.1197,-4.204614248,30.572,-0.972136583,31.6241,0.989151574,35.2311,-0.169744922,37.2657,0.381930352,36.6938,-0.017355885,-0.584339019,0.0,0.0,0.0,0.005232392,0.096865479,1,False,False,
11,2025-02-05T08:00:17.184Z,-1.050062762,28.1163,-1.011794081,30.5634,-2.559375353,31.6601,-0.191829914,35.2235,-0.609303036,37.2746,-0.449709052,36.6863,0.0,0.0,0.0,0.0,0.0,-0.005470084,0.07,1,False,False,
12,2025-02-05T08:00:18.222Z,0.491175514,28.1642,-3.086072407,30.5559,0.188177236,31.7075,-1.18965932,35.2221,-0.143563727,37.2621,0.800934313,36.6967,0.0,0.0,0.0,0.0,0.0,0.007944315,0.07,1,False,False,
13,2025-02-05T08:00:19.787Z,0.219248846,28.1576,-1.588360446,30.5825,-2.425337391,31.714,-1.647583644,35.2544,0.574747701,37.2543,0.369627153,36.7166,0.0,0.0,-0.340012361,0.0,0.0,0.0,0.088483805,1,False,False,
14,2025-02-05T08:00:21.868Z,0.145179074,28.1804,-3.037856683,30.6162,0.091634592,31.7259,0.899064371,35.2965,0.587144068,37.2746,-0.921245888,36.7469,0.0,-0.003492006,0.0,0.002992658,0.006984468,0.003152258,0.071985384,1,False,False,
15,2025-02-05T08:00:23.308Z,0.12601349,28.2131,-3.214658213,30.655,-1.976601001,31.7253,0.006722675,35.3309,-0.115723487,37.2885,1.076669435,36.7436,0.0,0.001538078,0.0,-0.00609514,0.0,-0.004384553,0.0930694,1,False,False,
16,2025-02-05T08:00:25.168Z,0.045291678,28.2559,-2.351589734,30.6692,-1.24752305,31.7244,0.247066364,35.3449,-0.401466749,37.2958,0.716061956,36.7704,0.0,0.0,0.0,-0.006610145,0.001136025,0.0,0.094451124,1,False,False,
17,2025-02-05T08:00:26.131Z,1.319329485,28.3025,-1.975327896,30.6649,-1.815210742,31.7092,0.635762439,35.3919,0.088713054,37.2786,0.890633909,36.7526,0.0,0.0,0.0,0.006187223,0.0,0.533099272,0.092725715,1,False,False,
18,2025-02-05T08:00:27.867Z,3.543153524,28.3037,-1.833845646,30.6928,-0.410040208,31.7456,0.252993033,35.4276,0.582390423,37.2982,-0.226126553,36.7355,0.0,-0.008120361,0.0,0.0,0.0,0.000852893,0.096384538,1,False,False,
19,2025-02-05T08:00:29.451Z,0.518134298,28.3304,-3.744486709,30.6964,-1.540536418,31.7602,0.178200962,35.4304,0.104243136,37.3123,-0.752051587,36.7403,0.005399871,0.0,0.00245781,0.0,0.0,0.0,0.117159161,1,False,False,
20,2025-02-05T08:00:30.748Z,0.58416803,28.3596,-3.64005845,30.6953,-0.933958862,31.7578,-1.384855064,35.4188,0.706202518,37.3058,-0.517817767,36.7287,0.0,0.0,0.0,0.0,-0.001820941,-0.057368221,0.079986294,1,False,False,
21,2025-02-05T08:00:32.211Z,-0.267126316,28.3705,-1.889329524,30.6882,-2.211660636,31.7414,0.139573332,35.4647,0.899848835,37.3193,0.413634591,36.7662,0.002234415,-0.001607999,-0.00504538,0.0,0.0,0.0,0.109770265,1,False,False,
22,2025-02-05T08:00:33.904Z,-0.183920745,28.3615,-0.282741394,30.6804,-1.116961689,31.7267,-1.676534033,35.4449,-1.212613982,37.3308,-0.071958602,36.7878,0.0,0.0,0.771533826,0.0,0.0,0.002517198,0.104848957,1,False,False,
23,2025-02-05T08:00:35.935Z,0.872629573,28.3765,-2.187954186,30.695,-2.027642932,31.7123,-0.045594383,35.4277,-1.298917106,37.341,0.123554736,36.7904,0.0,0.001509484,-0.002236601,0.002865764,0.0,0.0,0.079220296,1,False,False,
24,2025-02-05T08:00:37.667Z,-0.120511942,28.3767,-1.704339792,30.7411,-0.764812801,31.7492,-1.176343374,35.4462,-0.098297411,37.3529,-0.46955687,36.7924,0.0,0.0,0.00628937,-0.004362905,0.178507743,0.0,0.074606356,1,False,False,
25,2025-02-05T08:00:38.584Z,0.250652161,28.3852,-1.749413569,30.7368,-1.634801289,31.7881,0.174465324,35.4341,0.428924803,37.3992,-0.631457649,36.8177,-0.893835806,-0.610285052,0.005528259,0.0,0.0,0.007168255,0.108292897,1,False,False,
26,2025-02-05T08:00:40.065Z,-0.326686309,28.3885,-2.654257713,30.7702,-0.893080809,31.7945,-0.586055102,35.4794,1.16064942,37.44,-0.468590003,36.8664,0.0,0.0,-0.009783247,0.474571494,0.0,-0.008174266,0.089862495,1,False,False,
27,2025-02-05T08:00:41.528Z,-0.145188283,28.4363,-2.123373508,30.7739,-0.471727792,31.823,-1.108556442,35.5049,2.097812334,37.4797,-1.155667118,36.906,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1,False,False,
28,2025-02-05T08:00:43.066Z,0.056436332,28.456,-2.664445331,30.8094,-0.366333171,31.8149,-0.689063606,35.4905,-0.89166583,37.5206,-0.173294182,36.9294,0.0,0.005230213,0.002364361,0.0,-0.008317864,-0.216651703,0.088057341,1,False,False,
29,2025-02-05T08:00:44.656Z,0.565527606,28.5054,-1.650799156,30.8101,-0.063347818,31.8634,-0.968403354,35.5165,-0.590474005,37.5198,1.385589547,36.949,0.0,0.0,0.001168085,0.428829812,0.0,-0.079969265,0.080465136,1,False,False,
30,2025-02-05T08:00:45.766Z,-0.003441204,28.4947,-2.806676742,30.8278,-1.150505766,31.9114,0.250520906,35.5337,0.577620494,37.5638,0.599879678,36.9872,0.0,0.044436503,0.0,0.007371983,0.0,0.0,0.088361387,1,False,False,
