Num,Timestamp,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost,
1,2025-02-05T08:00:01.667Z,0.323938741,27.9818,-2.285430516,30.4993,3.292575461,31.4956,-0.768427129,35.0316,-0.167036738,37.0274,1.555873241,36.5425,0.383717365,-0.00958831,0.0,0.0,-0.290439067,0.0,0.077122453,1,False,False,
2,2025-02-05T08:00:03.551Z,0.270277698,27.9993,-6.0,30.5474,-1.514259133,31.5021,-1.256188151,35.0502,0.257592057,37.0654,-0.841144513,36.5657,0.0,0.0,0.0,0.0,0.001848291,0.0,0.07,1,False,False,
3,2025-02-05T08:00:02.815Z,-1.143239563,28.0014,-1.768424959,30.5461,-1.55584158,31.4969,-0.873264796,35.0962,-0.522073521,37.1068,1.605247416,36.5678,-0.007559235,-0.266824402,-0.002763931,-0.114725227,0.003250446,-0.003765778,0.090840234,1,False,False,
4,2025-02-05T08:00:08.261Z,2.735463339,28.0416,-1.172444321,30.5269,-0.843692585,31.5273,0.068404345,35.1239,-0.663616202,37.1244,-1.726948737,36.5665,0.0,0.0,0.0,-0.00438131,-0.565276152,0.0,0.087016433,1,False,False,
5,2025-02-05T08:00:10.181Z,-0.599190659,28.0276,-1.735716914,30.5409,-0.219647278,31.5122,0.260109507,35.1572,-0.554816212,37.158,-0.320154924,36.5554,0.007262069,-0.754076645,0.0,0.549823488,0.0,0.589858172,0.071526881,1,False,False,
6,2025-02-05T08:00:05.626Z,0.942842861,28.0307,-1.97882501,30.5569,-1.97617332,31.5117,-0.675454263,35.1711,0.873770634,37.1757,0.553216289,36.5861,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1,False,False,
7,2025-02-05T08:00:13.535Z,1.156349884,28.0493,-1.394604984,30.5405,-1.084027862,31.5616,-1.042167554,35.2097,-1.084928038,37.2235,-0.639026483,36.6309,-0.008460402,0.0,0.0,0.0,0.0,0.371855642,0.098731032,1,False,False,
8,2025-02-05T08:00:16.423Z,0.372860431,28.0349,-2.706827675,30.5335,-0.662934842,31.5833,-0.511303191,35.2369,0.749899784,37.22,-0.471773983,36.6193,0.0,0.0,-0.163831073,0.0,-1.327588024,0.0,0.090182769,1,False,False,
9,2025-02-05T08:00:12.090Z,-0.207237365,28.0259,-2.825477222,30.5718,-1.287633023,31.6125,-0.329586054,35.2597,1.80780112,37.2691,0.218100609,36.6451,0.0,0.0,0.0,-0.009275402,0.0,-0.836752311,0.085903453,1,False,False,
10,2025-02-05T08:00:12.143Z,2.813902222,28.0578,-2.411742681,30.5905,-0.892277222,31.6225,-0.627247178,35.2404,-1.209453214,37.2544,1.352080639,36.6869,0.0,0.004564327,0.0,0.0,0.0,0.0,0.096278995,1,False,False,
11,2025-02-05T08:00:15.334Z,-0.617336673,28.0847,-2.607589222,30.6219,-1.019302817,31.6198,-1.165299354,35.2316,-1.494491651,37.2835,0.102598898,36.6937,0.0,-0.006512671,0.0,0.0,0.0,0.0,0.073251201,1,False,False,
12,2025-02-05T08:00:22.124Z,-0.277499316,28.0952,-1.318223382,30.6708,-2.532920384,31.6079,-0.436633481,35.2745,1.578474298,37.2768,-1.515517065,36.6768,0.092316929,0.0,0.0,0.0,0.0,-0.003219404,0.104490952,1,False,False,
13,2025-02-05T08:00:20.247Z,-0.750337996,28.0753,-1.654060023,30.6709,0.211533572,31.618,-0.452714097,35.2951,0.880253852,37.3026,0.240752271,36.6893,0.0,0.0,-0.608427446,-0.005514614,0.0,0.0,0.102378934,1,False,False,
14,2025-02-05T08:00:23.621Z,-0.964120866,28.0557,-1.592946806,30.7035,-0.642225206,31.6519,0.288523692,35.2826,2.312372273,37.3124,-0.237109927,36.6817,-0.004695953,-0.005120207,0.009460211,0.0,0.0,0.002622773,0.073693958,1,False,False,
15,2025-02-05T08:00:26.343Z,0.00899319,28.0521,-0.966064779,30.707,-1.33278013,31.6944,2.391464427,35.2682,0.714382056,37.3029,-0.474339712,36.6885,-0.004384553,0.020990032,-0.006457786,0.008809172,0.0,0.0,0.082940923,1,False,False,
16,2025-02-05T08:00:27.242Z,-0.142026981,28.0879,-1.46128804,30.7377,-1.487835994,31.7333,-0.049042621,35.3126,0.882705007,37.3516,-0.224568837,36.7059,-0.00366156,0.0,0.0,0.0,0.0,0.0,0.088464306,1,False,False,
17,2025-02-05T08:00:27.975Z,-0.664409884,28.0846,-0.95410043,30.7508,-1.045214648,31.7213,0.086287307,35.3589,1.283946014,37.3641,-1.047887516,36.7038,0.0,0.691002302,0.0,0.15222456,0.0,0.0,0.088858112,1,False,False,
18,2025-02-05T08:00:17.689Z,1.631320391,28.11,-2.19494549,30.7317,0.115158599,31.7307,0.358109284,35.3733,0.297345435,37.3745,0.242995763,36.7091,0.0,0.0,-0.008120361,0.001565603,-0.009281155,-0.00068804,0.07,1,False,False,
19,2025-02-05T08:00:35.290Z,0.232736665,28.1138,-2.570237717,30.7733,-1.018649185,31.7598,-1.398889655,35.3726,-0.169583868,37.3552,1.633898648,36.7555,-0.005683579,0.0,0.0,-0.008966366,0.0,0.0,0.086928265,1,False,False,
20,2025-02-05T08:00:34.563Z,1.62017909,28.1072,-1.55542902,30.805,-1.08816764,31.7591,2.318869193,35.3939,-0.347705893,37.3884,-0.468487235,36.7773,0.0,0.0,0.009252968,0.0,0.003919484,-0.83456618,0.07,1,False,False,
21,2025-02-05T08:00:34.762Z,-0.354125108,28.091,-2.710302376,30.7955,-1.696844688,31.7785,0.928234748,35.3951,0.533555759,37.438,-1.176356403,36.7656,0.0,0.0,0.0,0.0,-0.001607999,-0.00504538,0.098767929,1,False,False,
22,2025-02-05T08:00:27.263Z,1.371232931,28.1311,-2.67333589,30.7804,-0.794033709,31.7749,-0.069110926,35.3937,-0.946985225,37.4734,-0.015153132,36.7869,-0.000167682,-0.000530565,-0.006535963,0.0,0.0,0.0,0.078399333,1,False,False,
23,2025-02-05T08:00:21.272Z,0.113134743,28.1647,-0.473113496,30.8179,-2.663003389,31.7952,0.425917684,35.4271,0.058111082,37.4656,-0.633615781,36.8032,-0.008588625,0.0,0.0,0.0,0.008804605,0.0,0.091931552,1,False,False,
24,2025-02-05T08:00:36.531Z,1.22570153,28.1883,2.029903873,30.8328,-3.00916796,31.8061,-0.755711729,35.4107,0.407817278,37.4643,0.256478555,36.7924,-0.31134976,0.0,0.0,0.0,-0.009534561,0.0,0.075666443,1,False,False,
25,2025-02-05T08:00:50.156Z,-0.412562,28.2038,-1.160090023,30.8744,0.031730573,31.8466,-0.165821728,35.41,0.450616851,37.4996,-0.45821542,36.8014,-0.006451209,0.0,0.0,0.0,-0.001747646,0.438377325,0.104164973,1,False,False,
26,2025-02-05T08:00:44.107Z,-0.663636727,28.2413,-1.727207347,30.923,-1.276748091,31.8613,-0.784155505,35.3926,0.811031232,37.5148,1.025247723,36.8227,0.0,0.008051058,0.000105047,0.0,0.0,0.0,0.097202645,1,False,False,
27,2025-02-05T08:00:27.489Z,0.349349565,28.2656,-2.307355611,30.9641,-1.010889827,31.8724,0.040098335,35.4212,-0.479700533,37.558,2.083436819,36.8059,0.0,0.0,0.0,0.005047491,0.0,-0.349573289,0.084867744,1,False,False,
28,2025-02-05T08:00:39.456Z,-1.971207796,28.2631,-0.083245122,31.0033,-1.466820694,31.8663,0.014666378,35.4281,0.670888053,37.5718,0.90468622,36.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.102315315,1,False,False,
29,2025-02-05T08:00:51.586Z,-0.564691865,28.2495,-2.962594337,31.004,-0.074228421,31.8986,-2.411181932,35.4204,1.695292736,37.5611,-0.152285702,36.8203,-0.002281414,-0.000626787,0.0,0.635569113,0.0,0.009243451,0.096562947,1,False,False,
30,2025-02-05T08:00:56.607Z,-1.661227825,28.2953,-2.738500451,30.9915,-1.493182519,31.895,-0.213273688,35.4022,0.131337381,37.603,0.930801644,36.8396,0.0,0.0,0.001077086,0.0,0.0,0.002587973,0.078520867,1,False,False,
31,2025-02-05T08:00:44.442Z,1.183552905,28.2918,-0.782405042,30.9969,0.887734691,31.9437,-0.680676747,35.4079,1.204637834,37.6461,-1.112432834,36.8647,0.0,0.392003205,0.0,0.0,0.0,0.0,0.09012634,1,False,False,
32,2025-02-05T08:00:59.462Z,1.143467309,28.2795,-1.557461092,31.0376,-1.485481014,31.9329,-1.38069102,35.413,0.52037292,37.6813,-0.917638331,36.886,0.0,0.0,0.915729383,-0.009095627,0.0,-0.002470733,0.089432163,1,False,False,
33,2025-02-05T08:00:32.301Z,-0.957137165,28.2788,-1.975159397,31.0619,-1.196063791,31.9513,-0.307447007,35.4157,0.25319295,37.7309,-1.757554783,36.9031,-0.004531859,0.0,0.0,0.0,0.009994353,-0.450646909,0.085078655,1,False,False,
34,2025-02-05T08:01:00.742Z,0.038155705,28.3156,-2.672645504,31.0808,-0.456822484,31.9723,-1.625178305,35.435,-0.084797936,37.734,0.169578884,36.8917,0.257219417,0.0,0.530223407,0.0,0.0,0.0,0.108120565,1,False,False,
35,2025-02-05T08:00:44.477Z,1.809165382,28.3194,-0.96448919,31.0613,-1.04248104,32.0132,1.09400044,35.4547,1.92137128,37.7421,-0.112069243,36.8816,0.0,0.0,0.005102745,0.002406191,0.0,0.0,0.099573564,1,False,False,
